id,type,question,a,b,c,d,answer,chose
0,normal,You must use your seat belt:,Unless you are riding in a vehicle built before 1978,Unless you are riding in a limousine,And failure to do so may result in a traffic ticket,Only when driving on a highway,And failure to do so may result in a traffic ticket,
1,normal,It is illegal for a person under 21 years of age to drive with a blood alcohol concentration (BAC) that is _____ or more.,0.01% - One hundredth of one percent,0.04% - Two hundredths of one percent,0.05% - Five hundredths of one percent,0.08% - Eight hundredths of one percent,0.01% - One hundredth of one percent,
2,normal,Generally speaking you are in a large truck's blind spot if you:,Drive close to the large truck's left front wheel,Cannot see the truck driver in the truck's side mirrors,Follow no closer than ten feet behind the large truck,All of the above,Cannot see the truck driver in the truck's side mirrors,
3,normal,Smoking inside a vehicle when a person younger than 18 years of age is present is:,Legal if it is your child,Illegal at all times,Not restricted by law,Your choice,Illegal at all times,
4,normal,"The ""three-second rule"" applies to the space _________ of your vehicle.",to the sides,ahead,in back,all around,ahead,
5,normal,When you enter traffic from a stop (ex: pulling away from the curb) you:,Should drive slower than other traffic for 200 feet,Need a large enough gap to get up to the speed of traffic,Should wait for the first vehicle to pass then pull into the lane,Should expect other drivers to make room for you to enter traffic,Need a large enough gap to get up to the speed of traffic,
6,normal,Two sets of solid double yellow lines two feet or more apart:,May only be crossed to enter a private driveway,Should be treated like a solid wall and not be crossed,Denote a lane for beginning or ending left-hand turns,Denote a center turn lane,Should be treated like a solid wall and not be crossed,
7,normal,Look carefully for motorcycles before you change lanes because:,It is illegal for motorcycles to share traffic lanes,Their smaller size makes them harder to see,They always have the right-of-way at intersections,They always have the right-of-way on the highway,Their smaller size makes them harder to see,
8,normal,You want to make a right turn at the corner. A pedestrian with a guide dog is at the corner ready to cross the street in front of you. Before making your right turn you should:,Turn off your engine until the person crosses the street,Tell the pedestrian when to cross the street,Wait until the person crosses the street,Honk the horn to warn the pedestrian of your presence,Wait until the person crosses the street,
9,normal,Dim your lights for oncoming vehicles or when you are within 300 feet of a vehicle:,You are approaching from behind,Approaching you from behind,You have already passed,Parked on the shoulder of the road,You are approaching from behind,
10,normal,U-turns in residential districts are legal:,When there are no vehicles approaching nearby,Across two sets of solid double yellow lines,On a one-way street at a green,At or on a railroad crossing,When there are no vehicles approaching nearby,
11,normal,At night if an oncoming vehicle fails to dim its high-beams look:,Toward the center of the roadway,Toward the right edge of your lane,Toward the left edge of your lane,Straight ahead in your lane,Toward the right edge of your lane,
12,normal,If you are a minor and your cell phone rings while you are driving you should:,Answer it if you have a hands-free device,Let the call go to voice mail,Answer if the call is from your parents,Text the caller that you are driving and that you will return the call later,Let the call go to voice mail,
13,normal,You are at a red traffic signal. The traffic light turns green but there are still other vehicles in the intersection. You should:,Wait until the vehicles clear the intersection before entering,Move ahead only if you can go around the other vehicles safely,Enter the intersection and wait for traffic to clear,Honk your horn to warn other drivers of your presence and then enter the intersection,Wait until the vehicles clear the intersection before entering,
14,normal,The road surface is most slippery:,During a heavy rain or storm,Just after the rain,Just when it starts raining,During a light rain,Just when it starts raining,
15,normal,A diamond-shaped sign is a:,Road hazard sign,Interstate route sign,School crossing sign,Speed limit sign,Road hazard sign,
16,normal,Before you reach the intersection when crossing railroad tracks in slow traffic you should:,Sound your horn as you are crossing the tracks,Stop on the tracks until your light turns green,Stop between the crossing gates in case they close,Wait until you can completely cross the tracks before you proceed,Wait until you can completely cross the tracks before you proceed,
17,normal,Who is responsible for knowing how your medications affect your driving?,You,Your doctor,Your pharmacist,The DMV clerk,You,
18,normal,Parallel parking is when the:,Front wheels are turned toward the street,Vehicle is in line with other parked vehicles,Rear wheels are touching the curb,Front wheels are turned against the street,Vehicle is in line with other parked vehicles,
19,normal,"When you are merging onto the freeway, you should be driving:",At or near the same speed as the traffic on the freeway,5 to 10 MPH slower than the traffic on the freeway,Accelerate to reach the speed of at least 60 mph,The posted speed limit for traffic on the freeway,At or near the same speed as the traffic on the freeway,
