id,type,question,a,b,c,d,answer,chose
0,normal,"When you hear the sirens or see the red emergency lights of a closely approaching emergency vehicle, you must:",Speed up to clear traffic ,Drive slowly until it has passed,Drive to the right edge and stop,Stop in the intersection,Drive to the right edge and stop,
1,normal,If a pedestrian is in a crosswalk in the middle of a block:,The pedestrian has the right-of-way,The pedestrian must yield the right-of-way,"Vehicles have the right-of-way, but drivers must legally take care for the pedestrian safety","Drivers must honk the horn approaching the crosswalk, to urge the pedestrian to cross faster",The pedestrian has the right-of-way,
2,normal,"On a two way highway, you are allowed to drive on the left half of the roadway when",There is a double yellow center line,There is a solid line on your side of the center line,"It is safe to pass, and passing is allowed",You are approaching a corner at which you intend to turn left,"It is safe to pass, and passing is allowed",
3,normal,The car behind you begins to pass you. You should:,Maintain your speed so traffic will flow smoothly,Pull to the right and stop so he can pass,Slow down slightly and stay in your lane,Blow your horn to allow him to pass,Slow down slightly and stay in your lane,
4,normal,Drivers who eat and drink while driving:,Have no driving errors,Have trouble driving slow,Are better drivers because they are not hungry,Have trouble controlling their vehicles,Have trouble controlling their vehicles,
5,normal,"When a traffic signal light is not working, you should:",Stop only if other vehicles are present ,Slow down and stop if necessary ,Stop and then continue driving when it is safe ,Proceed through the intersection as usual,Stop and then continue driving when it is safe ,
6,normal,"If you see orange construction signs and cones on a freeway, you must:",Change lanes and maintain your current speed,Be prepared for workers and equipment ahead ,Slow down because the lane ends ahead ,Speed up to avoid rubbernecking ,Be prepared for workers and equipment ahead ,
7,normal,When may you legally drive around or under a railroad crossing gate?,Under no circumstances ,When you can clearly see in both directions ,When the gate does not seem to be working correctly ,When you think you can drive through before it comes down ,Under no circumstances ,
8,normal,"When roads are slippery, you should:",Decrease the distance you look ahead of your vehicle,Stop and test the traction of your tires while going up hills ,Avoid making fast turns and fast stops ,Refrain from driving at all costs ,Avoid making fast turns and fast stops ,
9,normal,What are the colors of a sign which tells you the distance to the next exit of a highway?,Yellow with black letters. ,Black with white letters. ,Red with white letters. ,Green with white letters. ,Green with white letters. ,
10,normal,"On the intersection, if you see a green arrow pointing to the left, you can:",Go in any direction ,Make a protected turn left ,Make a turn left or go straight ,Turn left only if there are no vehicles coming in the opposite direction ,Make a protected turn left ,
11,normal,"When you drive through an area where children are playing, you should expect them:",To know when it is safe to cross,To stop at the curb before crossing the street,To run our in front of your without looking,Not to cross unless they are with an adult,To run our in front of your without looking,
12,normal,"When parking downhill and the curb is absent, your front wheels must be turned:",Towards the road ,Parallel to the road,Towards the side of the road ,In the direction of traffic,Towards the side of the road ,
13,normal,You may drive across a sidewalk to:,Avoid driving over a speed bump,Enter or exit a driveway or alley,Make a U-turn ,Pass a traffic jam ,Enter or exit a driveway or alley,
14,normal,"If you need to slow down or stop when other drivers may not expect it, you should: ",Use your emergency brake,Look over your shoulder for traffic in your blind spot,Quickly tap your brake pedal a few times,Get ready to blow your horn,Quickly tap your brake pedal a few times,
15,normal,You may drive off the paved roadway to pass another vehicle:,If the shoulder is wide enough to accommodate your vehicle,If the vehicle ahead of you is turning left,If the vehicle ahead of you is turning right,Under no circumstances,Under no circumstances,
16,normal,"When approaching a railroad crossing with no warning device, the speed limit is:",15 mph,20 mph,25 mph,30 mph,15 mph,
17,normal,There is a school bus ahead of you in your lane with flashing yellow lights. You should:,"Stop, then proceed when you think all the children have exited the bus",Slow to 25 MPH and pass cautiously,Slow down and prepare to stop,Stop immediately and wait until the bus goes away,Slow down and prepare to stop,
18,normal,You just sold your vehicle. You must notify ______ within 5 days.,CHP,SJSU,Your insuarance provider,DMV,DMV,
19,normal,Looking down the road to where your vehicle will be in about 10 seconds helps you to ______________.,Enjoy the scenery,Avoid last minute moves,See hazards inside your car,Check if there's any hole on the street,Avoid last minute moves,
